id,camaras,area,precio,habitaciones,banos,tamano,parqueos
2808023,12,16,3500.0,3,2.5,428.0,2
2807996,13,14,2970.0,2,2.5,295.0,2
2807918,6,15,775.0,2,1.0,89.0,2
2807873,13,14,1950.0,2,2.5,228.0,2
2807856,9,16,1200.0,2,2.0,84.0,2
2807745,9,14,875.0,1,1.0,70.0,1
2807736,8,14,1950.0,2,2.0,228.0,2
2807695,8,10,1100.0,2,2.0,75.0,2
2807636,51,Carretera a El Salvador,1266.0,2,2.0,165.0,2
2807434,9,8,585.0,2,2.0,160.0,2
2807360,17,14,2200.0,2,2.0,295.0,2
2807276,9,14,3000.0,3,2.5,202.0,3
2807178,4,14,1500.0,2,3.5,193.0,2
2807001,51,1,520.0,2,1.0,60.0,1
2806947,16,16,3500.0,3,2.0,299.0,2
2806672,11,15,8800.0,3,1.0,99.0,2
2806213,8,10,850.0,1,1.0,76.0,1
2806132,14,14,2200.0,2,2.5,160.0,2
2806089,9,Carretera a El Salvador,570.0,3,1.0,60.0,2
2806075,9,14,2200.0,2,2.5,295.0,2
2806009,14,14,2200.0,2,2.5,295.0,2
2805976,11,14,775.0,1,1.5,67.0,2
2805965,10,16,3800.0,4,3.5,338.0,4
2805945,11,14,2800.0,2,2.5,295.0,2
2805938,6,9,780.0,2,1.0,87.0,1
2805768,8,14,2200.0,2,2.5,295.0,2
2805696,12,4,580.0,1,1.0,40.0,1
2805695,14,14,2700.0,2,2.5,295.0,2
2805685,9,16,600.0,2,2.0,83.0,2
2805643,7,14,900.0,1,1.0,96.0,2
2805631,9,16,3800.0,3,3.5,338.0,4
2805581,6,10,850.0,1,1.0,76.0,1
2805297,7,Carretera a El Salvador,585.0,3,2.0,60.0,2
2805109,7,11,6752.0,2,2.0,65.0,1
2804991,13,14,2500.0,2,2.5,145.0,2
2804883,11,Santa Elena Barillas,500.0,3,1.0,70.0,2
2804866,5,14,2200.0,2,2.5,152.0,2
2804841,13,Carretera a El Salvador,800.0,2,2.0,106.0,2
2804765,45,10,1550.0,3,2.0,113.0,2
2804726,45,14,2500.0,2,2.5,146.0,2
2804549,2,10,905.0,1,1.5,71.0,1
2804765,45,10,1550.0,3,2.0,113.0,2
2804726,45,14,2500.0,2,2.5,146.0,2
2804549,2,10,905.0,1,1.5,71.0,1
2804488,9,11,750.0,3,2.0,79.0,2
2804466,9,16,635.0,3,1.0,80.0,2
2804347,12,10,664.0,2,2.0,110.0,1
2804340,6,14,900.0,2,1.0,70.0,2
2804184,8,15,1200.0,2,2.0,120.0,2
2804028,13,4,580.0,1,1.0,40.0,1
2804013,14,15,1250.0,2,2.0,90.0,2
2804002,10,16,3800.0,3,3.5,338.0,4
2803977,15,15,1450.0,3,2.0,127.0,2
2803942,13,14,2200.0,2,2.5,160.0,2
2803905,9,10,750.0,2,1.0,44.0,0
2803766,13,14,1850.0,2,2.0,125.0,2
2803721,15,3,400.0,2,1.0,48.0,0
2803687,13,16,2800.0,3,2.5,250.0,2
2803606,12,Santa Catarina Pinula,560.0,3,1.0,60.0,2
2803536,51,16,1500.0,3,2.5,104.0,2
2803469,4,10,800.0,1,0.5,40.0,1
2803457,11,5,692.0,1,2.0,62.0,1
2803451,5,13,1100.0,2,2.5,77.0,2
2803444,6,5,725.0,1,1.0,62.0,1
2803386,3,10,1600.0,3,2.0,82.0,1
2803313,11,16,800.0,2,2.0,125.0,2
2803279,11,5,604.0,2,1.0,49.0,1
2803237,5,9,850.0,2,2.0,53.0,1
2803190,6,16,750.0,1,1.0,46.0,2
2803172,4,14,1200.0,3,2.0,102.0,2
2802760,48,14,2200.0,2,2.5,160.0,2
2802694,45,14,2200.0,2,2.5,160.0,2
2802586,15,14,1625.0,3,3.0,139.0,2
2802472,10,10,1000.0,2,2.0,70.0,2
2802333,7,13,750.0,1,1.0,43.0,0
2802261,5,15,1150.0,2,3.0,105.0,2
2802197,5,14,1000.0,2,2.0,106.0,2
2802090,7,10,900.0,2,2.0,76.0,2
2802018,12,16,734.0,2,2.0,70.0,2
2802001,51,11,1013.0,3,2.5,127.0,2
2801985,8,Santa Catarina Pinula,654.0,3,2.0,100.0,3
2801945,7,16,712.0,3,2.0,97.0,2
2801848,3,10,1100.0,1,1.0,46.0,1
